,0
50,30.16435374986831
51,34.36518516200407
52,39.31459240213533
53,44.512755354294356
54,47.68371781910161
55,48.21822943678279
56,45.516220890878245
57,39.85038330906231
58,33.25427606647604
59,27.05430338814722
60,21.898830457354492
61,18.355114032875697
62,16.705485704583893
63,16.63505460063206
64,17.21223845475633
65,19.412727326488103
66,22.365863051009136
67,26.081654699851995
68,28.334877827899014
69,32.30171769114641
70,36.39164526001352
71,41.323241392520096
72,45.60699291131864
73,47.937635503927815
74,46.773012153419074
75,43.14725522087977
76,38.577480596058905
77,33.62572368581807
78,26.9561854859707
79,20.531729040179158
80,16.842840300557253
81,14.607833008371696
82,14.538504409760264
83,15.820450293153652
84,17.916171813561494
85,20.633156873984916
86,24.875163356858685
87,28.37314611303787
88,33.11272967397848
89,37.82772626003193
90,42.55812329652669
91,45.35355688767319
92,46.94836654972225
93,46.54971764692789
94,42.36680789459359
95,37.831823020909766
96,31.366698073886724
97,24.915076561646387
98,20.019145249139548
99,16.614707547067567
